Telescope Time,Observation1,Observation2,Strategy,Detection Prob,Integrated Prob Area,Filters,Exposure1,Exposure2,Distance,Coverage_deg,TT/area,Prob01,Prob02,TTime1,TTime2
3334513.6524239657,0.5,0.5,Top,96.04,0.8,zg,2400.0,2400.0,65.32207682713859,3.357174580844667,993250.0,98.0,98.0,2719.311410484181,2719.311410484181
235.0022206591267,0.5,0.5,Telescope Time 10%,86.49000000000002,0.8,ig,90.0,90.0,65.32207682713859,3.357174580844667,70.0,93.0,93.0,134.28698323378669,100.71523742534002
805.7218994027202,0.5,0.5,Early discovery,86.48400898944044,0.8,rg,600.0,600.0,65.32207682713859,3.357174580844667,240.00000000000003,93.0,92.99355805316178,705.0066619773802,100.71523742534002
6781.492653306229,0.5,4.0,Late discovery,87.36,0.8,ri,2400.0,2400.0,65.32207682713859,3.357174580844667,2020.0000000000005,96.0,91.0,2719.311410484181,4062.181242822048
1067044.368775669,0.5,1.5,Reference,0.0,0.9,zz,90.0,90.0,65.32207682713859,13338.054609695862,80.0,0.0,0.0,533522.1843878345,533522.1843878345
1410.0133239547602,1.0,1.0,Top,79.14659965442425,0.9,zg,3600.0,3600.0,162.41180433620258,16.785872904223336,84.0,89.0,88.92876365665646,20310.90621411024,20310.90621411024
7385.784077858268,1.0,1.0,Telescope Time 10%,72.25,0.9,zg,1200.0,1200.0,162.41180433620258,16.785872904223336,440.0,85.0,85.0,6882.207890731567,503.57618712670006
20814.48240123694,0.5,0.5,Early discovery,72.30258366923121,0.9,rg,3600.0,3600.0,162.41180433620258,16.785872904223336,1240.0000000000002,85.0,85.06186314027201,20310.90621411024,503.57618712670006
40621.81242822048,0.5,2.5,Late discovery,71.33999999999997,0.9,iz,3600.0,3600.0,162.41180433620258,16.785872904223336,2420.0000000000005,87.0,82.0,20310.90621411024,20310.90621411024
1342.8698323378665,0.5,1.5,Reference,47.6,0.9,ii,90.0,90.0,162.41180433620258,16.785872904223336,79.99999999999997,70.0,68.0,671.4349161689332,671.4349161689332
19068.751619197712,1.0,1.0,Top,65.61,0.9,zg,2400.0,2400.0,175.58849169844814,20.143047485068003,946.6666666666667,81.0,81.0,16315.868462905082,16315.868462905082
7385.784077858268,1.0,1.0,Telescope Time 10%,59.29,0.85,zg,1200.0,1200.0,175.58849169844814,16.785872904223336,440.0,77.0,77.0,6882.207890731567,503.57618712670006
16920.15988745712,0.5,0.5,Early discovery,59.25173483578083,0.9,rg,2400.0,2400.0,175.58849169844814,20.143047485068003,839.9999999999999,77.0,76.95030498153355,16315.868462905082,604.2914245520401
32631.736925810164,1.0,2.5,Late discovery,59.94,0.9,zz,2400.0,2400.0,175.58849169844814,20.143047485068003,1620.0,81.0,74.0,16315.868462905082,16315.868462905082
1611.44379880544,0.5,1.5,Reference,38.43,0.9,ii,90.0,90.0,175.58849169844814,20.143047485068003,80.0,63.0,61.0,805.72189940272,805.72189940272
7385.784077858268,0.5,0.5,Top,82.81,0.85,zg,1200.0,1200.0,93.34046244341937,26.857396646757337,275.0,91.0,91.0,11011.532625170508,11011.532625170508
2864.7889756541163,1.0,1.0,Telescope Time 10%,75.68371707226312,0.85,zg,200.0,200.0,93.34046244341937,26.857396646757337,106.66666666666667,87.0,86.9927782439806,2059.067076251396,805.7218994027202
7251.497094624481,0.5,0.5,Early discovery,77.42299326034706,0.9,ig,600.0,600.0,93.34046244341937,30.214571227602004,240.0,88.0,87.98067415948529,6345.059957796421,906.43713682806
18733.034161113243,0.5,3.0,Late discovery,74.8,0.9,iz,600.0,600.0,93.34046244341937,30.214571227602004,620.0,88.0,85.0,6345.059957796421,12387.97420331682
2417.1656982081604,0.5,1.5,Reference,68.06,0.9,iz,90.0,90.0,93.34046244341937,30.214571227602004,80.0,83.0,82.0,1208.5828491040802,1208.5828491040802
3974984.2283755746,1.0,1.0,Top,67.24,0.8,zg,1200.0,1200.0,197.10452021845305,26.857396646757337,148003.3333333333,82.0,82.0,11011.532625170508,11011.532625170508
6445.775195221761,1.0,1.0,Telescope Time 10%,60.84,0.8,zg,600.0,600.0,197.10452021845305,26.857396646757337,240.00000000000003,78.0,78.0,5640.0532958190415,805.7218994027202
11817.254524573229,0.5,0.5,Early discovery,62.357008340802366,0.8,rg,1200.0,1200.0,197.10452021845305,26.857396646757337,440.0,79.0,78.93292195038273,11011.532625170508,805.7218994027202
32631.736925810164,1.0,2.5,Late discovery,60.68,0.75,zz,2400.0,2400.0,197.10452021845305,20.143047485068003,1620.0,82.0,74.0,16315.868462905082,16315.868462905082
1703564.6693038174,0.5,1.5,Reference,0.0,0.9,zz,90.0,90.0,197.10452021845305,21294.55836629772,80.0,0.0,0.0,851782.3346519087,851782.3346519087
27193.114104841803,0.5,0.5,Top,79.21000000000002,0.9,zg,1200.0,1200.0,98.41361044626667,26.857396646757337,1012.5,89.0,89.0,11011.532625170508,11011.532625170508
3760.035530546027,1.0,1.0,Telescope Time 10%,73.96,0.9,zg,300.0,300.0,98.41361044626667,26.857396646757337,140.0,86.0,86.0,2954.313631143307,805.7218994027202
6445.775195221761,0.5,0.5,Early discovery,73.94522646858431,0.9,ig,600.0,600.0,98.41361044626667,26.857396646757337,240.00000000000003,86.0,85.98282147509802,5640.0532958190415,805.7218994027202
16651.58592098955,0.5,3.0,Late discovery,71.38,0.9,iz,600.0,600.0,98.41361044626667,26.857396646757337,620.0,86.0,83.0,5640.0532958190415,11011.532625170508
