Telescope Time,Observation1,Observation2,Strategy,Detection Prob,Integrated Prob Area,Filters,Exposure1,Exposure2,Distance,Coverage_deg,TT/area,Prob01,Prob02,TTime1,TTime2
15308.716088651681,0.5,0.5,Top,54.755913965148316,0.9,rg,2400.0,2400.0,263.78515241350834,16.785872904223336,912.0,74.0,73.9944783312815,906.43713682806,906.43713682806
1812.87427365612,0.5,0.5,Telescope Time 10%,54.755913965148316,0.9,rg,2400.0,2400.0,263.78515241350834,16.785872904223336,107.99999999999999,74.0,73.9944783312815,906.43713682806,906.43713682806
1880.0177652730135,0.5,0.5,Early discovery,54.755762630524174,0.9,rg,2400.0,2400.0,263.78515241350834,13.428698323378669,140.0,74.0,73.99427382503269,940.0088826365068,940.0088826365068
32766.02390904395,0.5,1.5,Late discovery,49.58000000000001,0.9,ri,2400.0,2400.0,263.78515241350834,13.428698323378669,2440.0,74.0,67.0,16383.011954521975,16383.011954521975
2148.591731740587,0.5,1.5,Reference,18.45,0.9,ii,90.0,90.0,263.78515241350834,26.857396646757337,80.0,45.0,41.0,1074.2958658702935,1074.2958658702935
2976.6947950156055,0.5,0.5,Top,98.01,0.9,rg,2400.0,2400.0,53.44376911968956,3.357174580844667,886.6666666666669,99.0,99.0,2719.311410484181,2719.311410484181
201.43047485068004,0.5,1.5,Telescope Time 10%,88.35,0.9,ri,60.0,60.0,53.44376911968956,3.357174580844667,60.00000000000001,93.0,95.0,100.71523742534002,100.71523742534002
235.0022206591267,0.5,0.5,Early discovery,88.36,0.9,rg,90.0,90.0,53.44376911968956,3.357174580844667,70.0,94.0,94.0,134.28698323378669,100.71523742534002
2820.026647909521,0.5,4.0,Late discovery,88.35,0.9,ri,60.0,60.0,53.44376911968956,3.357174580844667,840.0000000000002,93.0,95.0,100.71523742534002,2719.311410484181
268.57396646757337,0.5,1.5,Reference,95.06,0.9,zz,90.0,90.0,53.44376911968956,3.357174580844667,80.0,98.0,97.0,134.28698323378669,134.28698323378669
1175.0111032956333,1.0,1.0,Top,79.20821850268631,0.9,zg,2400.0,2400.0,162.41180433620258,10.071523742534,116.66666666666667,89.0,88.99799831762506,570.7196787435935,570.7196787435935
1141.439357487187,0.5,0.5,Telescope Time 10%,72.2514775576478,0.9,rg,2400.0,2400.0,162.41180433620258,10.071523742534,113.33333333333337,85.0,85.00173830311508,570.7196787435935,570.7196787435935
1208.5828491040802,0.5,0.5,Early discovery,72.25,0.9,rg,2400.0,2400.0,162.41180433620258,6.714349161689334,180.0,85.0,85.0,604.2914245520401,604.2914245520401
35250.33309886901,0.5,2.5,Late discovery,71.33999999999997,0.9,iz,2400.0,2400.0,162.41180433620258,6.714349161689334,5250.0,87.0,82.0,17625.166549434503,17625.166549434503
1342.8698323378665,0.5,1.5,Reference,47.6,0.9,ii,90.0,90.0,162.41180433620258,16.785872904223336,79.99999999999997,70.0,68.0,671.4349161689332,671.4349161689332
19001.608127580814,1.0,1.0,Top,70.56,0.9,zg,2400.0,2400.0,161.51176364997596,6.714349161689334,2829.9999999999995,84.0,84.0,470.0044413182534,470.0044413182534
872.8653910196136,0.5,0.5,Telescope Time 10%,64.00106343249394,0.9,rg,2400.0,2400.0,161.51176364997596,10.071523742534,86.6666666666667,80.0,80.00132929061742,436.4326955098068,436.4326955098068
940.0088826365068,0.5,0.5,Early discovery,65.61,0.9,rg,2400.0,2400.0,161.51176364997596,6.714349161689334,140.0,81.0,81.0,470.0044413182534,470.0044413182534
27125.970613224912,0.5,2.5,Late discovery,63.96,0.9,iz,2400.0,2400.0,161.51176364997596,6.714349161689334,4040.0000000000005,82.0,78.0,13562.985306612456,13562.985306612456
1074.2958658702935,0.5,1.5,Reference,44.88,0.9,ii,90.0,90.0,161.51176364997596,13.428698323378669,80.0,68.0,66.0,537.1479329351467,537.1479329351467
4050.9906608858973,1.0,1.0,Top,62.41,0.9,zg,2400.0,2400.0,219.32096613186707,30.214571227602004,134.07407407407405,79.0,79.0,1712.1590362307804,1712.1590362307804
3155.744105993987,0.5,0.5,Telescope Time 10%,56.24639557736433,0.9,rg,2400.0,2400.0,219.32096613186707,43.64326955098068,72.30769230769229,75.0,74.99519410315244,1577.8720529969935,1577.8720529969935
3625.748547312241,0.5,0.5,Early discovery,59.29,0.9,rg,2400.0,2400.0,219.32096613186707,20.143047485068003,180.00000000000003,77.0,77.0,1812.8742736561205,1812.8742736561205
3625.748547312241,1.5,1.5,Late discovery,57.748609586243575,0.9,zg,1200.0,1200.0,219.32096613186707,20.143047485068003,180.00000000000003,76.0,75.98501261347837,1812.8742736561205,1812.8742736561205
4028.609497013601,0.5,1.5,Reference,29.68000000000001,0.9,ii,90.0,90.0,219.32096613186707,50.35761871267,80.00000000000001,56.0,53.0,2014.3047485068005,2014.3047485068005
5774.340279052828,1.0,1.0,Top,86.49000000000002,0.9,zg,2400.0,2400.0,137.06380347918582,6.714349161689334,860.0000000000001,93.0,93.0,335.7174580844667,335.7174580844667
671.4349161689335,0.5,0.5,Telescope Time 10%,81.00092027811974,0.9,rg,2400.0,2400.0,137.06380347918582,6.714349161689334,100.0,90.0,90.00102253124416,335.7174580844667,335.7174580844667
671.4349161689335,0.5,0.5,Early discovery,81.00092027811974,0.9,rg,2400.0,2400.0,137.06380347918582,6.714349161689334,100.0,90.0,90.00102253124416,335.7174580844667,335.7174580844667
19001.608127580814,0.5,3.0,Late discovery,78.2,0.9,iz,2400.0,2400.0,137.06380347918582,6.714349161689334,2829.9999999999995,92.0,85.0,9500.804063790407,9500.804063790407
805.72189940272,0.5,1.5,Reference,52.54,0.9,ii,90.0,90.0,137.06380347918582,10.071523742534,80.00000000000001,74.0,71.0,402.86094970136,402.86094970136
5774.340279052828,1.0,1.0,Top,79.21000000000002,0.9,zg,2400.0,2400.0,135.3788159115834,6.714349161689334,860.0000000000001,89.0,89.0,335.7174580844667,335.7174580844667
671.4349161689335,0.5,0.5,Telescope Time 10%,72.25086915155755,0.9,rg,2400.0,2400.0,135.3788159115834,6.714349161689334,100.0,85.0,85.00102253124416,335.7174580844667,335.7174580844667
671.4349161689335,0.5,0.5,Early discovery,72.25086915155755,0.9,rg,2400.0,2400.0,135.3788159115834,6.714349161689334,100.0,85.0,85.00102253124416,335.7174580844667,335.7174580844667
